25.Q2.5							
							
PmEvent Name	Compound Type	Parameter Name	GPB Field Number	PmEventHeader/Payload	Parameter Type	Containing Oneof	Filters
CuCpNgDeactivateTrace	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgDeactivateTrace	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgDeactivateTrace	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgDeactivateTrace	Guami	plmn_identity	1	Payload	bytes		
CuCpNgDeactivateTrace	Guami	amf_region_id	2	Payload	int64		
CuCpNgDeactivateTrace	Guami	amf_set_id	3	Payload	int64		
CuCpNgDeactivateTrace	Guami	amf_pointer	4	Payload	int64		
CuCpNgDownlinkNasTransport	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgDownlinkNasTransport	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgDownlinkNasTransport	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgDownlinkNasTransport	Guami	plmn_identity	1	Payload	bytes		
CuCpNgDownlinkNasTransport	Guami	amf_region_id	2	Payload	int64		
CuCpNgDownlinkNasTransport	Guami	amf_set_id	3	Payload	int64		
CuCpNgDownlinkNasTransport	Guami	amf_pointer	4	Payload	int64		
CuCpNgDownlinkNasTransport	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgDownlinkNasTransport	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgDownlinkRanConfigurationTransfer	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgDownlinkRanConfigurationTransfer	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgDownlinkRanConfigurationTransfer	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgDownlinkRanStatusTransfer	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgDownlinkRanStatusTransfer	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgDownlinkRanStatusTransfer	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgDownlinkRanStatusTransfer	Guami	plmn_identity	1	Payload	bytes		
CuCpNgDownlinkRanStatusTransfer	Guami	amf_region_id	2	Payload	int64		
CuCpNgDownlinkRanStatusTransfer	Guami	amf_set_id	3	Payload	int64		
CuCpNgDownlinkRanStatusTransfer	Guami	amf_pointer	4	Payload	int64		
CuCpNgDownlinkRanStatusTransfer	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgDownlinkRanStatusTransfer	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgDownlinkUeAssociatedNrppaTransport	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgDownlinkUeAssociatedNrppaTransport	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgDownlinkUeAssociatedNrppaTransport	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgDownlinkUeAssociatedNrppaTransport	Guami	plmn_identity	1	Payload	bytes		
CuCpNgDownlinkUeAssociatedNrppaTransport	Guami	amf_region_id	2	Payload	int64		
CuCpNgDownlinkUeAssociatedNrppaTransport	Guami	amf_set_id	3	Payload	int64		
CuCpNgDownlinkUeAssociatedNrppaTransport	Guami	amf_pointer	4	Payload	int64		
CuCpNgDownlinkUeAssociatedNrppaTransport	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgDownlinkUeAssociatedNrppaTransport	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgErrorIndicationCommon	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgErrorIndicationCommon	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgErrorIndicationCommon	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgErrorIndicationDedicated	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
