PmEvent Name	Event Id	Event Type	Event Description and Trigger	STANDARDIZED or PROPRIETARY	Event Groups	Message Trace Depth (UE Trace)	Interface Classification (UE Trace)	DeprecatedSince	ReasonForDeprecation	Periodicity (seconds)	SupportedBands	SupportedDeployments	License	LimitationReason	EventStatus
DuF1TraceStart	2014	UE	Monitors TRACE START message.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not supported in HB SA	USED
DuF1UeContextModificationConfirm	2043	UE	UE CONTEXT MODIFICATION CONFIRM message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not supported in HB SA	USED
DuF1UeContextModificationFailure	2032	UE	UE CONTEXT MODIFICATION FAILURE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1UeContextModificationRefuse	2044	UE	UE CONTEXT MODIFICATION REFUSE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not supported in HB SA	USED
DuF1UeContextModificationRequest	2033	UE	UE CONTEXT MODIFICATION REQUEST message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1UeContextModificationRequired	2045	UE	UE CONTEXT MODIFICATION REQUIRED message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not supported in HB SA	USED
DuF1UeContextModificationResponse	2034	UE	UE CONTEXT MODIFICATION RESPONSE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1UeContextReleaseCommand	2035	UE	UE CONTEXT RELEASE COMMAND message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1UeContextReleaseComplete	2036	UE	UE CONTEXT RELEASE COMPLETE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1UeContextReleaseRequest	2037	UE	UE CONTEXT RELEASE REQUEST message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
